code,lat,lng,category,objet,nom,adresse,codepostal,ville,commentaire,horaire,telephone,fax,courriel,siteinternet,src,modesCollecte,string_horaires,quartier,type
stco_reemploi1,-1.624346,47.199656,Récupération,Autres,TRAIT D'UNION,95 rue Robert Schuman,44800,SAINT-HERBLAIN,"Collecte des déchets et communication sur le tri. Vous avez besoin d'espace, de détruire plafonds, cloisons, toiture, etc. ? Nos spécialistes de la déconstruction interviennent chez vous et vous débarrassent. Nos professionnels peuvent aussi réaliser des petits travaux de maçonnerie ou de bricolage et vous aider à reconstruire ! Vous ne savez que faire de résidus de tonte de pelouses, de coupe de bois? de cartons, plastiques, ferraille, etc. ? Nos spécialistes de la collecte des déchets valorisables viennent chez vous, les récupèrent et les orientent vers les filières de recyclage adaptées.",,06 67 23 03 95,,info@trait-union.net,<a href='http://www.trait-union.net' target='_blank' >www.trait-union.net</a>,deuxiemeVie,smco_reempdivers,,SAINT-HERBLAIN,modco_reemploi
stco_reemploi2,-1.639795,47.197236,Décheterie,Dechets,SAINT-HERBLAIN,Rond point Lacroix,44470,SAINT-HERBLAIN,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrorvaultants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  17h45, dimanche compris (sauf jours fériés)",02 51 80 90 27,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  17h45, dimanche compris (sauf jours fériés)",SAINT-HERBLAIN,modco_decheterie
stco_reemploi3,-1.888551,47.354684,Récupération,Meuble,Recyclerie Nord Atlantique,Point du Jour,44260,SAVENAY,"Au Bazar Citoyen, la première boutique de la Recyclerie Nord Atlantique, les habitants du territoire peuvent venir chiner, fouiller, faire de bonnes affaires.","La boutique est ouverte tous les mercredi et samedi de 9h30 à 12h et de 14h à 16h45. Chacun peut également venir y déposer les objets encore utilisables, aux mêmes jours et heures d?ouverture.",02 40 05 38 21,,recyclerie.nordatlantique@orange.com,,deuxiemeVie,"smco_reempmeuble,smco_reemplivreCD,smco_reempjouet,smco_reempdivers","La boutique est ouverte tous les mercredi et samedi de 9h30 à 12h et de 14h à 16h45. Chacun peut également venir y déposer les objets encore utilisables, aux mêmes jours et heures d?ouverture.",SAVENAY,modco_reemploi
stco_reemploi4,-1.551347,47.258670,Décheterie,Dechets,LA CHAPELLE SUR ERDRE,Rue Ampère,44240,LA CHAPELLE SUR ERDRE,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 40 37 72 21,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",LA CHAPELLE SUR ERDRE,modco_decheterie
stco_reemploi5,-1.754959,47.201260,Récupération,Meuble,ATELIER DU RETZ EMPLOI (LE PELLERIN),18 rue du docteur Sourdille,44640,LE PELLERIN,"Collecte, revente à petit prix de ce qui est récupérable, tri en vue de recyclage : vaisselle, jouets, livres, disques, électroménager en état de fonctionnement, outils, vêtements, chaussures, bibelots, meubles...","le MERCREDI de 9 h à 12 h, le SAMEDI de 9 h à 12 h 30",06 71 65 87 20,,atelierduretzemploi@orange.fr,<a href='http://latelierduretzemploi.free.fr' target='_blank' >http://latelierduretzemploi.free.fr/</a>,deuxiemeVie,"smco_reempmeuble,smco_reemplivreCD,smco_reempjouet,smco_reempvet,smco_reempdivers","le MERCREDI de 9 h à 12 h, le SAMEDI de 9 h à 12 h 30",LE PELLERIN,modco_reemploi
stco_reemploi6,-1.560690,47.161667,Récupération,Electromenager,EMMAUS,La Guilloterie Rue d'Emmaus,44430,BOUGENAIS,"Meubles, appareils et ustensiles ménagers, literie, couverture, linge, lustres et luminaires, vêtements, livres, vaisselle...",Pour effectuer vos dépôts : du lundi au samedi de 8h00 à  11h30 et de 14h à  17h30,02 40 75 63 36,02 40 32 86 96,contact@emmaus44.fr,<a href='http://www.emmaus44.fr' target='_blank' >www.emmaus44.fr</a>,deuxiemeVie,"smco_reempelectromenag,smco_reempmeuble,smco_reempvet,smco_reemplivreCD,smco_reempdivers",Pour effectuer vos dépôts : du lundi au samedi de 8h00 à  11h30 et de 14h à  17h30,BOUGENAIS,modco_reemploi
stco_reemploi7,-1.534953,47.157418,Décheterie,Dechets,REZE,Rue Pierre Legendre,44400,REZE,"Déchets admis : déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",02 51 70 24 04,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert tous les jours de 10h à  18h, dimanche compris (sauf jours fériés)",REZE,modco_decheterie
stco_reemploi8,-1.636877,47.148371,Décheterie,Dechets,SAINT-AIGNAN-DE-GRAND-LIEU,Avenue de la Forêt,44640,SAINT-AIGNAN-DE-GRAND-LIEU,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages.","Ouvert Lundi, Mardi, Mercredi, Vendredi et Samedi de 10h à  18h (sauf jours fériés)",06 84 58 50 20,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,"Ouvert Lundi, Mardi, Mercredi, Vendredi et Samedi de 10h à  18h (sauf jours fériés)",SAINT-AIGNAN-DE-GRAND-LIEU,modco_decheterie
stco_reemploi9,-2.253592,47.310977,Décheterie,Dechets,CUNEIX,Route de Cuneix,44600,SAINT-NAZAIRE,"Déchets acceptés: Végétaux, Gravats, tout venant, cartons, ferrailles, huile minérale, huile végétale (en bidon), batterie, emballages légers, verres, journaux revues magazines, bois, lampes/tubes, DEEE (après réhabilitation). Déchets dangereux des ménages acceptés : Piles, déchets toxiques, pneus (uniquement pour les particuliers et après réhabilitation). Les particuliers domiciliés sur l'agglomération peuvent également : déposer de l'amiante liée (plaques de fibrociment), à la déchèterie le samedi et le dimanche de 9h à 18h du 1er octobre au 31 mars (les mêmes jours de 9h à 19h le reste de l'année). Utiliser la plateforme des déchets verts pour y effectuer des dépôts de déchets verts ou charger gratuitement du compost (dans la limite d'une remorque), le samedi et le dimanche de 9h à 18h du 1er octobre au 31 mars (les mêmes jours de 9h à 19h le reste de l'année)", Été (Du 1er avril au 30 septembre) : Lundi au Samedi de 9h à 19h. Dimanche de 9h à 12h15. Hiver (du 1er octobre au 31 mars) : Lundi au Samedi de 9h à 18h. Dimanche de 9h à 12h15. Fermeture les jours fériés.,02 40 22 50 97,,,<a href='http://www.agglo-carene.fr/26572369/0/fiche___pagelibre/&RH=DECHETS' target='_blank' >www.agglo-carene.fr</a>,deuxiemeVie,modco_decheterie, Été (Du 1er avril au 30 septembre) : Lundi au Samedi de 9h à 19h. Dimanche de 9h à 12h15. Hiver (du 1er octobre au 31 mars) : Lundi au Samedi de 9h à 18h. Dimanche de 9h à 12h15. Fermeture les jours fériés.,SAINT-NAZAIRE,modco_decheterie
stco_reemploi10,-2.2184136,47.2764666,Récupération,Vetement,Enfant'y Age,"1 rue etienne de condillac, square de la mutualité",44600,SAINT NAZAIRE,Dépot vente et commerce de vêtements pour enfant et articles de puériculture.,Le magasin est ouvert du mardi au samedi de 9h30 à 12h30 et de 13h30 à 18h,09 81 48 66 76 / 06 63 76 39 04,,enfantyage@hotmail.fr,<a href='http://www.facebook.com/people/Enfanty-Age/100002458176597?sk=wall' target='_blank' >Facebook</a>,deuxiemeVie,"smco_reempvet,smco_reempjouet",Le magasin est ouvert du mardi au samedi de 9h30 à 12h30 et de 13h30 à 18h,SAINT NAZAIRE,modco_reemploi
stco_reemploi11,-1.503839,47.225106,Décheterie,Dechets,NANTES,Rue Vulcain,44300,NANTES,"Déchets admis : Déblais et gravats issus du bricolage familial, papiers, cartons, encombrants ménagers divers, Déchets d'équipements Electriques et Electroniques, batteries, verre, huiles de moteur, bouteilles et flacons plastique, bois, ferrailles, déchets verts issus des ménages. Déchets Dangereux des Ménages : produits toxiques, dangereux ou instables (peinture, vernis, colle, diluants...) ; piles ; bouteilles de gaz ; déchets d'amiante-lié : fibrociment, fibro ondulé (long maxi 2m, quantité maxi 10 plaques), tubes en fibrociment en petite longueur, les cuves ou jardinières; pneus.",Ouvert du Lundi au Samedi de 10h à  18h et le Dimanche de 8h30 à  12h (sauf jours fériés),02 40 49 43 20,,,<a href='http://www.nantesmetropole.fr/pratique/dechets/les-decheteries-et-ecopoints-23191.kjsp?RH=faq_trisac' target='_blank' >www.nantesmetropole.fr</a>,deuxiemeVie,modco_decheterie,Ouvert du Lundi au Samedi de 10h à  18h et le Dimanche de 8h30 à  12h (sauf jours fériés),NANTES,modco_decheterie
stco_reemploi12,-2.2726939,47.2599674,Récupération,Electromenager,ENVIE 44,"Zone commerciale Océanis, 29 rue de l?étoile du matin",44600,SAINT-NAZAIRE,Récupération et vente d'électroménager,Du mardi au samedi de 10h à 12h30 et de 14h30 à 19h,02 53 35 51 90 ,,envie.44.sn@orange.fr,<a href='http://www.envie.org' target='_blank' >www.envie.org</a>,deuxiemeVie,smco_reempelectromenag,Du mardi au samedi de 10h à 12h30 et de 14h30 à 19h,SAINT-NAZAIRE,modco_reemploi
stco_reemploi13,-2.161143,47.3264595,Récupération,Autres,ESAT Marie Moreau,40 rue du Docteur Schweitzer,44612,SAINT-NAZAIRE,"L'atelier recycle les toiles de voile ou les bâches publicitaires pour en faire des sacs marins, des cabas, des cartables ou des étuis isothermes. Ces articles sont aussi commercialisés dans le magasin Artisan du Monde de Saint-Nazaire.",,02 40 53 85 79,02 40 70 68 50,cat.marie-moreau@wanadoo.fr,<a href='http://www.marie-moreau.fr/esat.php' target='_blank' >www.marie-moreau.fr</a>,deuxiemeVie,smco_reempdivers,,SAINT-NAZAIRE,modco_reemploi
stco_reemploi14,-1.573717,47.258869,Récupération,Autres,ATAO,"7 bis, rue Jacques Cartier",44300,NANTES,Récupération et vente de vélo et de cyclomoteurs,,02 40 59 93 68,02 51 77 19 78,contact@atao-insertion.fr,<a href='http://atao-insertion.fr' target='_blank' >http://atao-insertion.fr/</a>,deuxiemeVie,smco_reempdivers,,NANTES,modco_reemploi
stco_reemploi15,-1.6133603,47.2062095,Récupération,Cartouche,LEVER L'ENCRE,14 Boulevard Winston Churchill,44100,NANTES,Recharge de cartouche d'imprimante et remanufacturation de toner,,,,contact@leverlencre.fr,<a href='http://www.leverlencre.fr' target='_blank' >www.leverlencre.fr</a>,deuxiemeVie,smco_reempcartouchetoner,,NANTES,modco_reemploi
stco_reemploi16,-1.5578842,47.2143672,Récupération,Autres,Optique Jean ROYER,"11, place Royale",44000,NANTES,Récupération de lunettes,"Du mardi au samedi de 10h à 19h, le lundi de 14h à 19h",02 40 48 75 73,09 58 40 75 73,,<a href='http://www.optique-royer.com' target='_blank' >www.optique-royer.com</a>,deuxiemeVie,smco_reempdivers,"Du mardi au samedi de 10h à 19h, le lundi de 14h à 19h",NANTES,modco_reemploi
